"","item_name","rep_name","item_scale","rep_in","cos","item_cat","rep_cat","bc_overlap","items","rep_by"
"180","SS28 - Recreational Interests and Activities","N2 - Emotional withdrawl -","SANS_SAPS","PANSS",0.5171164,"Negative symptoms","Negative symptoms",1,"SS28","N2"
"181","SS29 - Sexual Interest and Activity","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.45008773,"Negative symptoms","Negative symptoms",1,"SS29","A5"
"182","SS29 - Sexual Interest and Activity","N2 - Emotional withdrawl -","SANS_SAPS","PANSS",0.5009775,"Negative symptoms","Negative symptoms",1,"SS29","N2"
"183","SS29 - Sexual Interest and Activity",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS29",NA
"184","SS30 - Ability to Feel Intimacy and Closeness","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.48490623,"Negative symptoms","Negative symptoms",1,"SS30","A5"
"185","SS30 - Ability to Feel Intimacy and Closeness","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.48754162,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS30","G"
"186","SS30 - Ability to Feel Intimacy and Closeness","N3 - Poor rapport","SANS_SAPS","PANSS",0.5639576,"Negative symptoms","Negative symptoms",0,"SS30","N3"
"187","SS31 - Relationships with Friends and Peers","G16 - Active social avoidance","SANS_SAPS","PANSS",0.55820495,"Negative symptoms","Grossly disorganized or catatonic behaviour",1,"SS31","G16"
"188","SS31 - Relationships with Friends and Peers",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS31",NA
"189","SS31 - Relationships with Friends and Peers",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS31",NA
"190","SS32 - Global Rating of Anhedonia/Asociality","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.66463006,"Negative symptoms","Negative symptoms",1,"SS32","A5"
"191","SS32 - Global Rating of Anhedonia/Asociality","E - Negative symptoms","SANS_SAPS","ICD-11",0.66085774,"Negative symptoms","Negative symptoms",1,"SS32","E"
"192","SS32 - Global Rating of Anhedonia/Asociality","G16 - Active social avoidance","SANS_SAPS","PANSS",0.48882738,"Negative symptoms","Grossly disorganized or catatonic behaviour",1,"SS32","G16"
"193","SS33 - Social Inattentiveness","A4 - Grossly disorganized or catatoic behaviour","SANS_SAPS","DSM-5",0.5274733,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"SS33","A4"
"194","SS33 - Social Inattentiveness","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.64896035,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"SS33","G"
"195","SS33 - Social Inattentiveness","N3 - Poor rapport","SANS_SAPS","PANSS",0.59956485,"not in nosologies","Negative symptoms",0,"SS33","N3"
"196","SS34 - Inattentiveness During Mental Status Testing","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.43806666,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"SS34","G"
"197","SS34 - Inattentiveness During Mental Status Testing",NA,"SANS_SAPS","PANSS",0,"not in nosologies",NA,NA,"SS34",NA
"198","SS34 - Inattentiveness During Mental Status Testing",NA,"SANS_SAPS","DSM-5",0,"not in nosologies",NA,NA,"SS34",NA
"199","SS35 - Global Rating of Attention","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.58158714,"not in nosologies","Disorganized thinking",0,"SS35","A3"
"200","SS35 - Global Rating of Attention","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.51489556,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"SS35","G"
"201","SS35 - Global Rating of Attention","G11 - Poor attention","SANS_SAPS","PANSS",0.6084497,"not in nosologies","not in nosologies",1,"SS35","G11"
"202","SS36 - Auditory Hallucinations","A2 - Hallucinations","SANS_SAPS","DSM-5",0.760458,"Hallucinations","Hallucinations",1,"SS36","A2"
"203","SS36 - Auditory Hallucinations","B - Hallucinations","SANS_SAPS","ICD-11",0.661618,"Hallucinations","Hallucinations",1,"SS36","B"
"204","SS36 - Auditory Hallucinations","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.6756907,"Hallucinations","Hallucinations",1,"SS36","P3"
"205","SS37 - Voices Commenting","A2 - Hallucinations","SANS_SAPS","DSM-5",0.6113945,"Hallucinations","Hallucinations",1,"SS37","A2"
"206","SS37 - Voices Commenting","B - Hallucinations","SANS_SAPS","ICD-11",0.50841236,"Hallucinations","Hallucinations",1,"SS37","B"
"207","SS37 - Voices Commenting","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.56694365,"Hallucinations","Hallucinations",1,"SS37","P3"
"208","SS38 - Voices Conversing","A2 - Hallucinations","SANS_SAPS","DSM-5",0.5725377,"Hallucinations","Hallucinations",1,"SS38","A2"
"209","SS38 - Voices Conversing","C - Disorganized thinking","SANS_SAPS","ICD-11",0.49513024,"Hallucinations","Disorganized thinking",0,"SS38","C"
"210","SS38 - Voices Conversing","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.554548,"Hallucinations","Hallucinations",1,"SS38","P3"
"211","SS39 - Somatic or Tactile Hallucinations","A2 - Hallucinations","SANS_SAPS","DSM-5",0.69271606,"Hallucinations","Hallucinations",1,"SS39","A2"
"212","SS39 - Somatic or Tactile Hallucinations","B - Hallucinations","SANS_SAPS","ICD-11",0.7638258,"Hallucinations","Hallucinations",1,"SS39","B"
"213","SS39 - Somatic or Tactile Hallucinations","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.64476126,"Hallucinations","Hallucinations",1,"SS39","P3"
"214","SS40 - Olfactory Hallucinations","A2 - Hallucinations","SANS_SAPS","DSM-5",0.63686895,"Hallucinations","Hallucinations",1,"SS40","A2"
"215","SS40 - Olfactory Hallucinations","B - Hallucinations","SANS_SAPS","ICD-11",0.6552909,"Hallucinations","Hallucinations",1,"SS40","B"
"216","SS40 - Olfactory Hallucinations","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.61899525,"Hallucinations","Hallucinations",1,"SS40","P3"
"217","SS41 - Visual Hallucinations","A2 - Hallucinations","SANS_SAPS","DSM-5",0.77619517,"Hallucinations","Hallucinations",1,"SS41","A2"
"218","SS41 - Visual Hallucinations","B - Hallucinations","SANS_SAPS","ICD-11",0.7161071,"Hallucinations","Hallucinations",1,"SS41","B"
"219","SS41 - Visual Hallucinations","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.7077039,"Hallucinations","Hallucinations",1,"SS41","P3"
"220","SS42 - Global Rating of Severity of Hallucinations","A2 - Hallucinations","SANS_SAPS","DSM-5",0.79486847,"Hallucinations","Hallucinations",1,"SS42","A2"
"221","SS42 - Global Rating of Severity of Hallucinations","B - Hallucinations","SANS_SAPS","ICD-11",0.82609546,"Hallucinations","Hallucinations",1,"SS42","B"
"222","SS42 - Global Rating of Severity of Hallucinations","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.82527065,"Hallucinations","Hallucinations",1,"SS42","P3"
"223","SS43 - Persecutory Delusions","A - Delusions","SANS_SAPS","ICD-11",0.7636427,"Delusions","Delusions",1,"SS43","A"
"224","SS43 - Persecutory Delusions","A1 - Delusions","SANS_SAPS","DSM-5",0.7618421,"Delusions","Delusions",1,"SS43","A1"
"225","SS43 - Persecutory Delusions","P6 - Suspiciousness/persecution","SANS_SAPS","PANSS",0.78048825,"Delusions","Delusions",1,"SS43","P6"
"226","SS44 - Delusions of Jealousy","A - Delusions","SANS_SAPS","ICD-11",0.65595233,"Delusions","Delusions",1,"SS44","A"
"227","SS44 - Delusions of Jealousy","A1 - Delusions","SANS_SAPS","DSM-5",0.6763206,"Delusions","Delusions",1,"SS44","A1"
"228","SS44 - Delusions of Jealousy","P1 - Delusions","SANS_SAPS","PANSS",0.67357194,"Delusions","Delusions",1,"SS44","P1"
"229","SS45 - Delusions of Sin or Guilt","A - Delusions","SANS_SAPS","ICD-11",0.76991326,"Delusions","Delusions",1,"SS45","A"
"230","SS45 - Delusions of Sin or Guilt","A1 - Delusions","SANS_SAPS","DSM-5",0.695111,"Delusions","Delusions",1,"SS45","A1"
"231","SS45 - Delusions of Sin or Guilt","P1 - Delusions","SANS_SAPS","PANSS",0.7200581,"Delusions","Delusions",1,"SS45","P1"
"232","SS46 - Grandiose Delusions","A - Delusions","SANS_SAPS","ICD-11",0.7542888,"Delusions","Delusions",1,"SS46","A"
"233","SS46 - Grandiose Delusions","A1 - Delusions","SANS_SAPS","DSM-5",0.77625537,"Delusions","Delusions",1,"SS46","A1"
"234","SS46 - Grandiose Delusions","P1 - Delusions","SANS_SAPS","PANSS",0.78572863,"Delusions","Delusions",1,"SS46","P1"
"235","SS47 - Religious Delusions","A - Delusions","SANS_SAPS","ICD-11",0.7562474,"Delusions","Delusions",1,"SS47","A"
"236","SS47 - Religious Delusions","A1 - Delusions","SANS_SAPS","DSM-5",0.6918825,"Delusions","Delusions",1,"SS47","A1"
"237","SS47 - Religious Delusions","P1 - Delusions","SANS_SAPS","PANSS",0.73278254,"Delusions","Delusions",1,"SS47","P1"
"238","SS48 - Somatic Delusions","A - Delusions","SANS_SAPS","ICD-11",0.6371523,"Delusions","Delusions",1,"SS48","A"
"239","SS48 - Somatic Delusions","A1 - Delusions","SANS_SAPS","DSM-5",0.7436911,"Delusions","Delusions",1,"SS48","A1"
"240","SS48 - Somatic Delusions","P1 - Delusions","SANS_SAPS","PANSS",0.745137,"Delusions","Delusions",1,"SS48","P1"
"241","SS49 - Ideas and Delusions of Reference","A - Delusions","SANS_SAPS","ICD-11",0.60533476,"Delusions","Delusions",1,"SS49","A"
"242","SS49 - Ideas and Delusions of Reference","A1 - Delusions","SANS_SAPS","DSM-5",0.64121157,"Delusions","Delusions",1,"SS49","A1"
"243","SS49 - Ideas and Delusions of Reference","P1 - Delusions","SANS_SAPS","PANSS",0.63929945,"Delusions","Delusions",1,"SS49","P1"
"244","SS50 - Delusions of Being Controlled","A1 - Delusions","SANS_SAPS","DSM-5",0.6786898,"Delusions","Delusions",1,"SS50","A1"
"245","SS50 - Delusions of Being Controlled","D - Experiences of influence, passivity or control","SANS_SAPS","ICD-11",0.74005175,"Delusions","Delusions",1,"SS50","D"
"246","SS50 - Delusions of Being Controlled","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.65930414,"Delusions","Hallucinations",0,"SS50","P3"
"247","SS51 - Delusions of Mind Reading","A1 - Delusions","SANS_SAPS","DSM-5",0.5275687,"Delusions","Delusions",1,"SS51","A1"
"248","SS51 - Delusions of Mind Reading","D - Experiences of influence, passivity or control","SANS_SAPS","ICD-11",0.66666627,"Delusions","Delusions",1,"SS51","D"
"249","SS51 - Delusions of Mind Reading","P1 - Delusions","SANS_SAPS","PANSS",0.5529978,"Delusions","Delusions",1,"SS51","P1"
"250","SS52 - Thought Broadcasting","A2 - Hallucinations","SANS_SAPS","DSM-5",0.5409457,"Delusions","Hallucinations",0,"SS52","A2"
"251","SS52 - Thought Broadcasting","D - Experiences of influence, passivity or control","SANS_SAPS","ICD-11",0.7336006,"Delusions","Delusions",1,"SS52","D"
"252","SS52 - Thought Broadcasting","P3 - Hallucinatory behaviour","SANS_SAPS","PANSS",0.55260885,"Delusions","Hallucinations",0,"SS52","P3"
"253","SS53 - Thought Insertion","A1 - Delusions","SANS_SAPS","DSM-5",0.6034282,"Delusions","Delusions",1,"SS53","A1"
"254","SS53 - Thought Insertion","D - Experiences of influence, passivity or control","SANS_SAPS","ICD-11",0.7020755,"Delusions","Delusions",1,"SS53","D"
"255","SS53 - Thought Insertion","P1 - Delusions","SANS_SAPS","PANSS",0.5906166,"Delusions","Delusions",1,"SS53","P1"
"256","SS54 - Thought Withdrawal","A1 - Delusions","SANS_SAPS","DSM-5",0.5175763,"Delusions","Delusions",1,"SS54","A1"
"257","SS54 - Thought Withdrawal","D - Experiences of influence, passivity or control","SANS_SAPS","ICD-11",0.55479383,"Delusions","Delusions",1,"SS54","D"
"258","SS54 - Thought Withdrawal","P2 - Conceptual disorganisation","SANS_SAPS","PANSS",0.5192535,"Delusions","Disorganized thinking",0,"SS54","P2"
"259","SS55 - Global Rating of Severity of Delusions","A - Delusions","SANS_SAPS","ICD-11",0.7540749,"Delusions","Delusions",1,"SS55","A"
"260","SS55 - Global Rating of Severity of Delusions","A1 - Delusions","SANS_SAPS","DSM-5",0.7530322,"Delusions","Delusions",1,"SS55","A1"
"261","SS55 - Global Rating of Severity of Delusions","P1 - Delusions","SANS_SAPS","PANSS",0.80487776,"Delusions","Delusions",1,"SS55","P1"
"262","SS56 - Clothing and Appearance","G5 - Mannerisms and posturing","SANS_SAPS","PANSS",0.49916792,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",0,"SS56","G5"
"263","SS56 - Clothing and Appearance",NA,"SANS_SAPS","ICD-11",0,"Grossly disorganized or catatonic behaviour",NA,NA,"SS56",NA
"264","SS56 - Clothing and Appearance",NA,"SANS_SAPS","DSM-5",0,"Grossly disorganized or catatonic behaviour",NA,NA,"SS56",NA
"265","SS57 - Social and Sexual Behavior","A4 - Grossly disorganized or catatoic behaviour","SANS_SAPS","DSM-5",0.445978,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS57","A4"
"266","SS57 - Social and Sexual Behavior","F - Grossly disorganized behaviour","SANS_SAPS","ICD-11",0.49121904,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS57","F"
"267","SS57 - Social and Sexual Behavior","G5 - Mannerisms and posturing","SANS_SAPS","PANSS",0.5647616,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",0,"SS57","G5"
"268","SS58 - Aggressive and Agitated Behavior","A4 - Grossly disorganized or catatoic behaviour","SANS_SAPS","DSM-5",0.44478717,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS58","A4"
"269","SS58 - Aggressive and Agitated Behavior","F - Grossly disorganized behaviour","SANS_SAPS","ICD-11",0.538089,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS58","F"
"270","SS58 - Aggressive and Agitated Behavior","P7 - Hostility","SANS_SAPS","PANSS",0.66272527,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS58","P7"
"271","SS59 - Repetitive or Stereotyped Behavior","A - Delusions","SANS_SAPS","ICD-11",0.43803105,"Grossly disorganized or catatonic behaviour","Delusions",0,"SS59","A"
"272","SS59 - Repetitive or Stereotyped Behavior","A4 - Grossly disorganized or catatoic behaviour","SANS_SAPS","DSM-5",0.44831273,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS59","A4"
"273","SS59 - Repetitive or Stereotyped Behavior","G5 - Mannerisms and posturing","SANS_SAPS","PANSS",0.52652293,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS59","G5"
"274","SS60 - Global Rating of Severity of Bizarre Behavior","A1 - Delusions","SANS_SAPS","DSM-5",0.5035982,"Grossly disorganized or catatonic behaviour","Delusions",0,"SS60","A1"
"275","SS60 - Global Rating of Severity of Bizarre Behavior","F - Grossly disorganized behaviour","SANS_SAPS","ICD-11",0.46469483,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS60","F"
"276","SS60 - Global Rating of Severity of Bizarre Behavior","G9 - Unusual thought content","SANS_SAPS","PANSS",0.53689945,"Grossly disorganized or catatonic behaviour","Delusions",0,"SS60","G9"
"277","SS61 - Derailment","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.61353374,"Disorganized thinking","Disorganized thinking",1,"SS61","A3"
"278","SS61 - Derailment","C - Disorganized thinking","SANS_SAPS","ICD-11",0.61262524,"Disorganized thinking","Disorganized thinking",1,"SS61","C"
"279","SS61 - Derailment","P2 - Conceptual disorganisation","SANS_SAPS","PANSS",0.52424353,"Disorganized thinking","Disorganized thinking",1,"SS61","P2"
"280","SS62 - Tangentiality","C - Disorganized thinking","SANS_SAPS","ICD-11",0.43248233,"Disorganized thinking","Disorganized thinking",1,"SS62","C"
"281","SS62 - Tangentiality","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.5135344,"Disorganized thinking","Negative symptoms",0,"SS62","N6"
"282","SS62 - Tangentiality",NA,"SANS_SAPS","DSM-5",0,"Disorganized thinking",NA,NA,"SS62",NA
"283","SS63 - Incoherence","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.77871907,"Disorganized thinking","Disorganized thinking",1,"SS63","A3"
"284","SS63 - Incoherence","C - Disorganized thinking","SANS_SAPS","ICD-11",0.7328254,"Disorganized thinking","Disorganized thinking",1,"SS63","C"
"285","SS63 - Incoherence","P2 - Conceptual disorganisation","SANS_SAPS","PANSS",0.5721621,"Disorganized thinking","Disorganized thinking",1,"SS63","P2"
"286","SS64 - Illogicality","C - Disorganized thinking","SANS_SAPS","ICD-11",0.46111876,"Disorganized thinking","Disorganized thinking",1,"SS64","C"
"287","SS64 - Illogicality","P1 - Delusions","SANS_SAPS","PANSS",0.43089974,"Disorganized thinking","Delusions",0,"SS64","P1"
"288","SS64 - Illogicality",NA,"SANS_SAPS","DSM-5",0,"Disorganized thinking",NA,NA,"SS64",NA
"289","SS65 - Circumstantiality","C - Disorganized thinking","SANS_SAPS","ICD-11",0.4985446,"Disorganized thinking","Disorganized thinking",1,"SS65","C"
"290","SS65 - Circumstantiality","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.43632263,"Disorganized thinking","Negative symptoms",0,"SS65","N6"
"291","SS65 - Circumstantiality",NA,"SANS_SAPS","DSM-5",0,"Disorganized thinking",NA,NA,"SS65",NA
"292","SS66 - Pressure of Speech","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.5761242,"Disorganized thinking","Disorganized thinking",0,"SS66","A3"
"293","SS66 - Pressure of Speech","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.5506991,"Disorganized thinking","Grossly disorganized or catatonic behaviour",0,"SS66","G"
"294","SS66 - Pressure of Speech","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.61311644,"Disorganized thinking","Negative symptoms",0,"SS66","N6"
"295","SS67 - Distractible Speech","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.48722252,"Disorganized thinking","Disorganized thinking",0,"SS67","A3"
"296","SS67 - Distractible Speech","G11 - Poor attention","SANS_SAPS","PANSS",0.60452116,"Disorganized thinking","not in nosologies",1,"SS67","G11"
"297","SS67 - Distractible Speech",NA,"SANS_SAPS","ICD-11",0,"Disorganized thinking",NA,NA,"SS67",NA
"298","SS68 - Clanging",NA,"SANS_SAPS","DSM-5",0,"Disorganized thinking",NA,NA,"SS68",NA
"299","SS68 - Clanging",NA,"SANS_SAPS","PANSS",0,"Disorganized thinking",NA,NA,"SS68",NA
"300","SS68 - Clanging",NA,"SANS_SAPS","ICD-11",0,"Disorganized thinking",NA,NA,"SS68",NA
"301","SS69 - Global Rating of Positive Formal Thought Disorder","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.68968564,"Disorganized thinking","Disorganized thinking",1,"SS69","A3"
"302","SS69 - Global Rating of Positive Formal Thought Disorder","C - Disorganized thinking","SANS_SAPS","ICD-11",0.72132534,"Disorganized thinking","Disorganized thinking",1,"SS69","C"
"303","SS69 - Global Rating of Positive Formal Thought Disorder","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.5925076,"Disorganized thinking","Negative symptoms",0,"SS69","N6"
